game_id,competition_id,competition_type,season,round,date,club id,club goals,opposite club id,opposite_club_goals,result,difference_goals
2492385,EL,international_cup,2014,Group C,9/18/14,114,1,6676,1,tie,0
2517545,EL,international_cup,2014,intermediate stage 2nd leg,2/26/15,114,6,31,4,win,2
2517529,EL,international_cup,2014,intermediate stage 1st leg,2/19/15,416,2,621,2,tie,0
2531136,EL,international_cup,2014,intermediate stage 2nd leg,2/26/15,18,2,368,3,loss,-1
2531142,EL,international_cup,2014,intermediate stage 2nd leg,2/26/15,46,1,371,0,win,1
2531137,EL,international_cup,2014,intermediate stage 2nd leg,2/26/15,255,0,610,3,loss,-3
2531138,EL,international_cup,2014,intermediate stage 2nd leg,2/26/15,121,3,58,1,win,2
2531140,EL,international_cup,2014,intermediate stage 2nd leg,2/26/15,964,3,383,0,win,3
2538960,EL,international_cup,2014,last 16 1st leg,3/12/15,6195,3,121,1,win,2
2538962,EL,international_cup,2014,last 16 1st leg,3/12/15,430,1,12,1,tie,0
2538955,EL,international_cup,2014,last 16 1st leg,3/12/15,29,2,338,1,win,1
2538959,EL,international_cup,2014,last 16 1st leg,3/12/15,1050,1,368,3,loss,-2
2538961,EL,international_cup,2014,last 16 1st leg,3/12/15,2282,2,114,1,win,1
2538956,EL,international_cup,2014,last 16 1st leg,3/12/15,339,1,610,0,win,1
2538958,EL,international_cup,2014,last 16 1st leg,3/12/15,82,3,46,1,win,2
2531147,EL,international_cup,2014,intermediate stage 2nd leg,2/26/15,409,1,1050,3,loss,-2
2538957,EL,international_cup,2014,last 16 1st leg,3/12/15,964,2,416,0,win,2
2517544,EL,international_cup,2014,intermediate stage 2nd leg,2/26/15,6195,1,449,0,win,1
2517531,EL,international_cup,2014,intermediate stage 1st leg,2/19/15,82,2,336,0,win,2
2538967,EL,international_cup,2014,last 16 2nd leg,3/19/15,368,2,1050,1,win,1
2538965,EL,international_cup,2014,last 16 2nd leg,3/19/15,416,1,964,0,win,1
2538970,EL,international_cup,2014,last 16 2nd leg,3/19/15,12,0,430,3,loss,-3
2538963,EL,international_cup,2014,last 16 2nd leg,3/19/15,338,5,29,2,win,3
2538968,EL,international_cup,2014,last 16 2nd leg,3/19/15,121,0,6195,0,tie,0
2547355,EL,international_cup,2014,Quarter-Finals 1st leg,4/16/15,338,1,430,1,tie,0
2531139,EL,international_cup,2014,intermediate stage 2nd leg,2/26/15,338,3,855,1,win,2
2538964,EL,international_cup,2014,last 16 2nd leg,3/19/15,610,2,339,1,win,1
2547356,EL,international_cup,2014,Quarter-Finals 1st leg,4/16/15,82,1,6195,4,loss,-3
2547357,EL,international_cup,2014,Quarter-Finals 1st leg,4/16/15,2282,0,339,0,tie,0
2547389,EL,international_cup,2014,Quarter-Finals 2nd leg,4/23/15,339,1,2282,0,win,1
2547353,EL,international_cup,2014,Quarter-Finals 1st leg,4/16/15,368,2,964,1,win,1
2538966,EL,international_cup,2014,last 16 2nd leg,3/19/15,46,1,82,2,loss,-1
2560696,EL,international_cup,2014,Semi-Finals 1st Leg,5/7/15,368,3,430,0,win,3
2560698,EL,international_cup,2014,Semi-Finals 2nd Leg,5/14/15,430,0,368,2,loss,-2
2547387,EL,international_cup,2014,Quarter-Finals 2nd leg,4/23/15,430,2,338,0,win,2
2560697,EL,international_cup,2014,Semi-Finals 2nd Leg,5/14/15,339,1,6195,0,win,1
2567511,EL,international_cup,2014,Final,5/27/15,339,2,368,3,loss,-1
2538969,EL,international_cup,2014,last 16 2nd leg,3/19/15,114,1,2282,3,loss,-2
2547388,EL,international_cup,2014,Quarter-Finals 2nd leg,4/23/15,6195,2,82,2,tie,0
2547386,EL,international_cup,2014,Quarter-Finals 2nd leg,4/23/15,964,2,368,2,tie,0
2560695,EL,international_cup,2014,Semi-Finals 1st Leg,5/7/15,6195,1,339,1,tie,0
2531141,EL,international_cup,2014,intermediate stage 2nd leg,2/26/15,430,2,148,0,win,2
2492357,EL,international_cup,2014,Group A,11/27/14,260,3,429,1,win,2
2469565,SFA,domestic_cup,2014,Qualifying Round,8/16/14,22428,1,23303,2,loss,-1
2469558,SFA,domestic_cup,2014,Qualifying Round,8/16/14,10597,3,8927,0,win,3
2469560,SFA,domestic_cup,2014,Qualifying Round,8/16/14,8929,2,5051,2,tie,0
2469562,SFA,domestic_cup,2014,Qualifying Round,8/16/14,23336,0,11379,1,loss,-1
2487927,SFA,domestic_cup,2014,qualification round deciders,8/23/14,23688,3,23718,0,win,3
2487926,SFA,domestic_cup,2014,qualification round deciders,8/23/14,5051,0,8929,5,loss,-5
2486428,SFA,domestic_cup,2014,First Round,9/13/14,12886,2,23685,1,win,1
2486431,SFA,domestic_cup,2014,First Round,9/13/14,25425,1,10935,4,loss,-3
2488777,SFA,domestic_cup,2014,First Round,9/13/14,3459,1,8929,7,loss,-6
2486419,SFA,domestic_cup,2014,First Round,9/13/14,4223,0,5751,1,loss,-1
2486421,SFA,domestic_cup,2014,First Round,9/13/14,24574,2,11379,1,win,1
2486423,SFA,domestic_cup,2014,First Round,9/13/14,23619,0,25442,4,loss,-4
2486427,SFA,domestic_cup,2014,First Round,9/13/14,16266,1,23613,3,loss,-2
2486426,SFA,domestic_cup,2014,First Round,9/13/14,3490,2,23337,1,win,1
2488776,SFA,domestic_cup,2014,First Round,9/13/14,8933,9,23688,0,win,9
2486432,SFA,domestic_cup,2014,First Round,9/13/14,6567,5,6400,0,win,5
2469563,SFA,domestic_cup,2014,Qualifying Round,8/16/14,23718,2,23688,2,tie,0
2486420,SFA,domestic_cup,2014,First Round,9/13/14,8909,0,24232,4,loss,-4
2497892,SFA,domestic_cup,2014,First Round Replay,9/20/14,5660,2,23616,1,win,1
2498092,SFA,domestic_cup,2014,Second Round,10/5/14,23692,1,3014,4,loss,-3
